Linux 6.8.0-49-generic (samoy-pc) 	12/09/2024 	_x86_64_	(12 CPU)

01:40:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:44:38 PM  all   21.38    0.00    8.18    9.80    0.00    0.09    0.00    0.00    0.00   60.56
01:44:39 PM  all   16.27    0.00    3.75   10.14    0.00    0.17    0.00    0.00    0.00   69.68
01:44:40 PM  all   17.88    0.00    4.58    9.75    0.00    0.08    0.00    0.00    0.00   67.71
01:44:41 PM  all   23.77    0.00    5.25    9.64    0.00    0.08    0.00    0.00    0.00   61.25
01:44:42 PM  all   19.14    0.00    3.69   11.24    0.00    0.17    0.00    0.00    0.00   65.75
01:44:43 PM  all   13.07    0.00    3.50   10.59    0.00    0.17    0.00    0.00    0.00   72.67
01:44:44 PM  all   18.93    0.00    7.66   10.50    0.00    0.00    0.00    0.00    0.00   62.91
01:44:45 PM  all   16.71    0.00    5.14   10.54    0.00    0.26    0.00    0.00    0.00   67.35
01:44:46 PM  all   17.68    0.00    5.55   10.23    0.00    0.00    0.00    0.00    0.00   66.55
01:44:47 PM  all   15.18    0.00    4.20   10.29    0.00    0.09    0.00    0.00    0.00   70.24
01:44:48 PM  all   14.10    0.00    4.36    9.40    0.00    0.26    0.00    0.00    0.00   71.88
01:44:49 PM  all   16.40    0.00    6.83   10.42    0.00    0.17    0.00    0.00    0.00   66.18
01:44:50 PM  all   14.63    0.00    4.88   10.78    0.00    0.09    0.00    0.00    0.00   69.63
01:44:51 PM  all   14.51    0.00    4.29   10.39    0.00    0.17    0.00    0.00    0.00   70.64
01:44:52 PM  all   16.31    0.00    4.61   10.50    0.00    0.17    0.00    0.00    0.00   68.40
01:44:53 PM  all   14.46    0.00    3.59   10.78    0.00    0.26    0.00    0.00    0.00   70.92
01:44:54 PM  all   14.88    0.00    3.74    9.78    0.00    0.17    0.00    0.00    0.00   71.43
01:44:55 PM  all   14.40    0.00    4.63   10.28    0.00    0.17    0.00    0.00    0.00   70.52
01:44:56 PM  all   14.26    0.09    3.84   10.85    0.00    0.17    0.00    0.00    0.00   70.79
01:44:57 PM  all   15.24    0.00    4.54    9.93    0.00    0.09    0.00    0.00    0.00   70.21
01:44:58 PM  all   15.29    0.00    4.61    9.82    0.00    0.26    0.00    0.00    0.00   70.03
01:44:59 PM  all   16.81    0.00    4.52    9.90    0.00    0.17    0.00    0.00    0.00   68.60
01:45:00 PM  all   17.55    0.00    5.71   10.22    0.00    0.34    0.00    0.00    0.00   66.18
01:45:01 PM  all   14.16    0.00    4.21   11.42    0.00    0.09    0.00    0.00    0.00   70.13
01:45:02 PM  all   14.75    0.00    4.43   10.32    0.00    0.26    0.00    0.00    0.00   70.25
01:45:03 PM  all   19.83    0.00    4.79   10.34    0.00    0.17    0.00    0.00    0.00   64.87
01:45:04 PM  all   13.75    0.00    4.58    9.17    0.00    0.42    0.00    0.00    0.00   72.07
01:45:05 PM  all   16.92    0.00    5.04   10.60    0.00    0.00    0.00    0.00    0.00   67.44
01:45:06 PM  all   17.21    0.00    5.54   10.31    0.00    0.17    0.00    0.00    0.00   66.78
01:45:07 PM  all   14.01    0.00    4.61    9.91    0.00    0.09    0.00    0.00    0.00   71.39
01:45:08 PM  all   14.93    0.00    4.75    9.58    0.00    0.25    0.00    0.00    0.00   70.48
01:45:09 PM  all   14.68    0.00    4.69   10.49    0.00    0.26    0.00    0.00    0.00   69.88
01:45:10 PM  all   14.59    0.00    4.10   12.03    0.00    0.26    0.00    0.00    0.00   69.03
01:45:11 PM  all   13.57    0.00    4.01   11.52    0.00    0.09    0.00    0.00    0.00   70.82
01:45:12 PM  all   15.63    0.00    4.27   10.08    0.00    0.26    0.00    0.00    0.00   69.77
01:45:13 PM  all   14.13    0.00    4.22   10.08    0.00    0.17    0.00    0.00    0.00   71.40
01:45:14 PM  all   16.70    0.00    4.28   11.47    0.00    0.26    0.00    0.00    0.00   67.29
01:45:15 PM  all   14.52    0.00    4.75   10.44    0.00    0.08    0.00    0.00    0.00   70.20
01:45:16 PM  all   15.75    0.00    4.54   10.36    0.00    0.09    0.00    0.00    0.00   69.26
01:45:17 PM  all   12.78    0.00    4.00   11.33    0.00    0.43    0.00    0.00    0.00   71.47
01:45:18 PM  all   10.13    0.00    3.49   10.13    0.00    0.17    0.00    0.00    0.00   76.09
